,ratings,comment,rating_star,like_count,orderid
0,"Envio rápido, entrega rápida, baixei o aplicativo FitPro porém não reconheceu o relógio, consegui baixar o HryFine que é o aplicativo que vem no manual do relógio, porém esse aplicativo não é muito bom desconecta do nada muda o idioma e não reconhece o relógio as vezes",5,8.0,110865669148606,14276967397
1,"Gostei bastante, me surpreendeu, da pra ouvir áudios do Wh… App de música tbm, a imagem dele é boa, melhor do que eu esperava, recomendo.",5,3.0,110906826117613,14276967397
2,"Achei o RELÓGIO maravilhoso !!
Bonito e super estiloso !!
Tem tudo que precisa !!",5,,110648755134512,14276967397
3,"Ótimo produto, custo benefício super favorável. A entrega foi super rápida . Estou muito satisfeito até o momento com a compra realizada.",5,,110917279125808,14276967397
4,Muito bom!,5,4.0,110899105133989,14276967397
5,Muito bonito interface legal única coisa ruim e que os passos não e preciso.,5,19.0,110248857134218,14276967397
6,"Gostei bastante, só veio com a caixa bem amassada e as pulseiras um pouco apertadas, mas como é encomenda internacional é de se esperar isso também. Demorou uns 15 dias para chegar.",5,4.0,110749561166818,14276967397
7,,5,,111771052159739,14276967397
8,,5,14.0,109051666881920,14276967397
9,,5,20.0,108444852830050,14276967397
10,"gostei muito do relógio, recomendo...",5,,110315239135528,14276967397
11,Perfeitos!!!,5,,109681809112988,14276967397
12,,5,2.0,111440489113652,14276967397
13,,5,,110482588117291,14276967397
14,Chegou rápido e tudo certo podem comprar sem medo,5,19.0,108956103186454,14276967397
15,"Ótimo relógio, venho td certinho",5,9.0,108786080853845,14276967397
16,,5,15.0,108441013828322,14276967397
17,,5,35.0,107845743195697,14276967397
18,"O touch screen não funciona! 
Recebi, carreguei e fui configurar porém não consegui porque o touch não funciona nem um pouco, não consegui ligar nem o bluetooth. Infelizmente não tive uma boa experiência, na verdade nem tive experiência porque não funciona.",1,6.0,111028873133450,14276967397
19,Fiz a compra de 5 Smartwatch T900 e olha o q eu recebi. Não sei de quem foi o erro só sei q não recebi os relógios até hj.,5,2.0,109995543103016,14276967397
20,"Comprei 2. 
Um preto aparentemente ok
Já o verde veio preto e só a pulseira verde.",3,7.0,108425214124918,14276967397
21,Pedir um relógio na cor todo verdade veio preto e pulceira verde,5,16.0,106503413819022,14276967397
22,"Bom em Geral!! 
Gosteiiii",5,0.0,110947453159547,14276967397
23,Muy Bueno,5,,111150554155226,14276967397
24,Top de mais,5,3.0,110409253180638,14276967397
25,,5,3.0,109007728150547,14276967397
26,,4,19.0,107734397870630,14276967397
27,Chegou rápido e todos tudo certinho. Indico !!,5,8.0,107805287830452,14276967397
28,,5,27.0,105022314120834,14276967397
29,"Muito lindo, qualidade muito boa.
Para o valor, ele atende muito bem as necessidades.
Ameiiiii parabéns",5,17.0,107221719870162,14276967397
30,"Ótimo! Veio funcionando, cor certa, chegou em menos de 10 dias úteis RJ Capital, vendedor foi ágil e mandou tudo certo, produto é muito bom pelo valor que é vendido, parabéns!!!",5,,111359413189981,14276967397
31,"Por ter sido enviado da China, chegou até com uma certa rapidez. Até o momento o produto está tudo  ok. Apanhei um pouco para configurar mas consegui e está tudo bem. Portanto indico o produto e o vendedor, no entanto a embalagem deixou a desejar. Dei mais uma estrela  pois o pedido chegou com 16 d.",5,0.0,110947181101498,14276967397
32,De acordo com o valor ótimo relógio,5,1.0,110506521174611,14276967397
33,"Chegou tudo certo, veio um pouco amassado a embalagem mas tá tudo certo, eu pedi tudo verde veio só a pulseira verde, vou só testar agr...",5,2.0,109712105115910,14276967397
34,Ótimo chegou tudo certinho eu amei recomendo muito bom entrega rápida,5,9.0,109706473110076,14276967397
35,Chegou bem antes dp prazo produto de ótima qualidade,5,7.0,109382002198996,14276967397
36,Bom dia relógios super ótimos chegaram super rápidos A qualidade  é ótima venho sei nenhum defeito super indico amei,5,2.0,108783924174800,14276967397
