,itemid,shopid,name,shop_location,price,rating
0,5342393433,235602906,Y68 Relógio com Bluetooth USB Smartwatch,China Continental,27.98,4.740311029979639
1,19215032224,323094450,1 : 1 Apple Watch Series 7 Com Power On Logo Pk Iwo 13 Pro/Botão Rotativo/Número Serial/Bluetooth Chamada/Smartwatch Relógio Inteligente 45mm,China Continental,195.0,4.8
2,14276967397,361970679,IWO 14 Série 7 T900 Pro MAX Smartwatch Sleep Monitor de Frequência Cardíaca Multi Bluetooth Chamada Homens Mulheres destino,China Continental,24.58,4.662460567823344
3,12415779217,528630780,Iwo 13 X8 Smartwatch Bluetooth Monitor De Chamada Cronômetro Cartão De Relógio Inteligente,China Continental,39.99,4.626943758174684
4,6293532367,479685831,2021 New Smartwatch Y68/  D20  Para Android/ios Pk FD68,China Continental,19.6,4.732390712154625
5,11111862289,468345326,Y68 Smartwatch Ip67 Waterproof Heart Rate 1.44inch For Android Ios PK FD68 M6 M4,China Continental,18.4,4.72061403508772
6,4587069239,240543476,IWO CW27 MAX Smartwatch 1.92 Polegadas Para iOS/Android,China Continental,174.0,4.610995850622406
7,6591450521,261593599,IWO 13 Max X8 Smartwatch Bluetooth monitor de Chamada Cronômetro Cartão de Frequ Ncia Aca Relógio Inteligente Para Android iPhone,China Continental,31.8,4.641666666666667
8,5342393433,235602906,Y68 Relógio com Bluetooth USB Smartwatch,China Continental,27.98,4.740311029979639
9,5421063798,235602906,Smartwatch Bluetooth Redondo À Prova D'água Com Rastreador Fitness/Masculino D18,China Continental,25.98,4.6027176416397975
